 	21 	7.3 
 	21 	7.8 
 	20.5 	8.2 
 	21.8 	9.4 
 	21 	7.7 
 	20 	6.6 
 	20.5 	7.6 
 	20 	6.2 
 	21.5 	7.9 
 	19.8 	7.1 
 	18.5 	5.8 
 	20.5 	7.5 
 	20.5 	7.5 
 	22 	8.2 
 	21 	8.5 
 	18.5 	6 	
 	20 	6.8 
 	20.5 	6.4 
 	20.5 	7.9 
 	20.5 	7.2 
 	21 	7.6 
 	18.5 	6 	
 	20 	7.6 
 	19.5 	6.8 
	21 	7.7 
	20.5 	7.4 
	20.8 	7.5 
	20 	7.3 
	20 	7.8 
	20.5 	7.2 
	20 	7.2 
	20 	7.5 
	21 	7.6 
	20 	7.2 
	20.5 	7.3 
	21 	7.8 
	18.5 	5.9 
	21 	7.5 
	21 	7.4 
	21.5 	7.8 
	21 	7 	
	20.5 	6.4 
	20 	7.1 
	20.5 	7.2 
	20.8 	7.1 
	19.5 	6.7 
	19.5 	7.1 
	19.8 	7.3 
	22.3 	9.4 
	19 	6.4 
	20.5 	8.3 
 	20 	8.1 
 	19 	7.7 
 	19.5 	8.1 
 	20 	8.2 
 	20.5 	7.7 
 	21.8 	8.8 
 	22.5 	8.9 
 	18 	5.6 
 	21 	8.7 
 	20.5 	6.8 
 	20.5 	6.1 
 	21.5 	7.4 
 	20.5 	7.8 
 	21 	8.1 
 	21 	9.1 
 	21.5 	8.1 
 	21.5 	8.1 
	20.5 	8.4 
 	20 	7.4 
 	20.5 	7.3 
 	18.8 	5.3 
 	20.5 	7.1 
 	17 	3.9 
 	21.5 	7.9 
 	20 	6.5 
 	22 	8.3 
 	19.5 	7.8 
	21 	7.8 
 	20.5 	6.8 
 	21.3 	7.3 
 	20.5 	6.1 
 	19 	8.7 
 	20 	7.3 
 	21.3 	9 	
 	22 	8.8 
	22 	8.2 
 	21 	7 	
	21 	8 	
	20.5 	7.9 
	21 	7.5 
	20.5 	7.6 
	20.5 	6.9 
	21 	7.9 
	21 	7.1 
	20 	9.4 
	20 	7.1 
	22 	8.9 
	20.5 	6.8 
	19 	6.9 
	19 	7.4 
 	20 	7.3 
	20 	7.4 
	21 	8.8 
	19 	5.9 
	21.5 	8.1 
	19 	5.8 
	19 	5 	
	20.5 	6.8 
	20 	6.1 
	20 	6.4 
	19.8 	6.7 
	21 	7.4 
	21 	9.6 
	20.5 	7.3 
	20 	7.2 
	20.5 	6.2 
	17.5 	4.5 
	20 	7 	
	22 	8.8 
	21.5 	9.4 
	20 	5.9 
	21 	8.1 
	21 	8.7 
	20 	7.4 
	21.5 	8.3 
	21 	7.3 
	22 	9 	
	21 	7.5 
	20 	7.5 
	20 	6.8 
	20 	7.6 
	20 	7.2 
	18 	5.8 
	20.8 	7.4 
	20 	7.4 
	20.5 	7.3 
	19.5 	7 	
	20.5 	6.8 
	22 	10.1
	20 	6.3 
	20.5 	6.8 
	21.5 	8.8 
	20 	8.8 
	20 	6.8 
	21 	8.3 
	19 	5.8 
	20.5 	7.8 
	20.5 	7.9 
	22 	7.9 
	21 	7.8 
	20.5 	7.4 
	20.5 	6.9 
	21 	6.9 
	21 	7.1 
	21 	7.6 
	21.5 	7.8 
	20.5 	6.8 
	21 	8.1 
	20 	8 	
	21 	8.8 
	20.3 	7.7 
	21 	9.4 
	19 	6.2 
	23 	10.6
	22 	9.1 
	21.8 	8.3 
	19 	5.9 
	20 	6.4 
	20.8 	7.4 
	20.5 	7.1 
	21 	8.5 
	20.5 	7.4 
	22 	7.6 
	21 	8.1 
	20 	6.9 
	20.5 	8.1 
	20 	9.8 
	21.5 	8	
	20 	6.6 
	20.5 	9.1 
	20 	6.9 
	21 	7.4 
	21 	8 	
	20.5 	7.6 
	20 	7.6 
	22 	9.3 
	20 	7 	
	20 	6.9 
 	18 	5.9 
 	20 	7.3 
 	21.5 	8.1 
	19 	6.7 
	21.5 	7.9 
	19.5 	8.4 
	19.5 	6.3 
	20.5 	7.8 
	21 	8.2 
	19.5 	5.7 
	21.3 	8.6 
	21.5 	8.9 
	22.5 	10.1
	21.5 	7.9 
	20 	6.9 
	21 	9 	
	22.5 	9.9 
	21 	6.9 
	22.5 	8.9 
	20 	7.7 
	21.5 	9.8 
	21 	9.5 
	21 	8.1 
	21.5 	7.6 
	21.5 	8.9 
	21.5 	7.3 
	21 	7.1 
	20.5 	6.6 
	20 	7.7 
	19 	5.9 
	19.5 	6.5 
	21 	8.4 
	20 	7 	
	22.5 	9.9 
	22 	7.8 
	20.5 	7.6 
	20 	7.4 
	19.5 	6.4 
	21.5 	8.3 
	22 	8.8 
	23 	9.9 
	20 	7.9 
	20.5 	7.3 
	21.5 	8.7 
	20.5 	7.4 
	22 	8.8 
	20.5 	7.7 
	20.5 	7.4 
	21 	8.1 
	21 	8.1 
	21 	7.9 
	21 	8.2 
	21.5 	7.4 
	21 	8.8 
	20.5 	7.9 
	19.5 	5.4 
	21.5 	7.5 
	21 	8.8 
	19.3 	6.3 
	22 	9 	
	21 	8.6 
	22.5 	8.6 
	22 	9.1 
	19 	7.8 
	20.8 	7.2 
	20 	6.1 
	21 	8 	
	20.5 	7.1 
	22 	8.5 
	21 	7.9 
	22.5 	10 	
	19.3 	5.4 
	19.5 	7.8 
	19.5 	6.6 
	21.5 	7.9 
	21 	8.8 
	22.5 	10.6
	20 	7.7 
	20.5 	6.7 
	19 	6.1 
	21 	7.8 
	22.5 	14.1
	18 	6.5 
	20.5 	7.5 
	20.5 	8.3 
	21.5 	7.9 
	21.5 	8.7 
	21 	10.3
	20.5 	6.9 
	21.5 	7.8 
	19 	6.1 
	19.8 	7.4 
	21 	6.1 
	19.5 	6.8 
