Date,Open,High,Low,Close,Volume,Adj Close
2010-09-07,5439.20,5439.20,5381.10,5407.80,700129000,5407.80
2010-09-06,5428.10,5459.40,5428.10,5439.20,483459700,5439.20
2010-09-03,5371.00,5454.00,5371.00,5428.10,733985100,5428.10
2010-09-02,5366.40,5383.70,5347.00,5371.00,837828900,5371.00
2010-09-01,5225.20,5366.40,5225.20,5366.40,990584100,5366.40
2010-08-31,5201.60,5225.20,5129.70,5225.20,1162231000,5225.20
2010-08-27,5155.80,5211.60,5121.00,5201.60,791736400,5201.60
2010-08-26,5109.40,5167.80,5109.40,5155.80,699881100,5155.80
2010-08-25,5156.00,5168.50,5070.90,5109.40,852400700,5109.40
2010-08-24,5234.80,5234.80,5109.90,5156.00,863419500,5156.00
2010-08-23,5195.30,5268.40,5186.90,5234.80,582331100,5234.80
2010-08-20,5211.30,5233.00,5160.40,5195.30,808699200,5195.30
2010-08-19,5302.90,5336.40,5205.60,5211.30,825504400,5211.30
2010-08-18,5350.50,5350.50,5296.90,5302.90,653683300,5302.90
2010-08-17,5276.10,5351.50,5276.10,5350.50,722264700,5350.50
2010-08-16,5275.40,5304.60,5228.60,5276.10,602793700,5276.10
2010-08-13,5266.10,5308.80,5225.90,5275.40,863371000,5275.40
2010-08-12,5245.20,5272.50,5210.50,5266.10,1058661300,5266.10
2010-08-11,5376.40,5376.40,5245.00,5245.20,1046900200,5245.20
2010-08-10,5410.50,5411.60,5348.10,5376.40,853616900,5376.40
2010-08-09,5332.40,5418.60,5332.40,5410.50,635528400,5410.50
2010-08-06,5365.80,5408.10,5307.60,5332.40,1147370700,5332.40
2010-08-05,5386.20,5416.80,5356.80,5365.80,1082818800,5365.80
2010-08-04,5396.50,5406.80,5318.80,5386.20,1157773400,5386.20
2010-08-03,5397.10,5397.30,5353.50,5396.50,849018600,5396.50
2010-08-02,5258.00,5401.70,5258.00,5397.10,955917300,5397.10
2010-07-30,5314.00,5322.70,5245.50,5258.00,838262500,5258.00
2010-07-29,5319.70,5375.20,5314.00,5314.00,792887300,5314.00
2010-07-28,5365.70,5398.10,5314.60,5319.70,1184821300,5319.70
2010-07-27,5351.10,5411.50,5351.10,5365.70,1810362600,5365.70
2010-07-26,5312.60,5351.90,5301.30,5351.10,772356000,5351.10
2010-07-23,5313.80,5328.50,5272.70,5312.60,872202600,5312.60
2010-07-22,5214.60,5319.50,5181.00,5313.80,1022077500,5313.80
2010-07-21,5139.50,5244.90,5139.50,5214.60,966423800,5214.60
2010-07-20,5148.30,5180.00,5090.60,5139.50,830739400,5139.50
2010-07-19,5158.90,5196.80,5111.90,5148.30,687707300,5148.30
2010-07-16,5211.30,5273.60,5153.30,5158.90,1068185900,5158.90
2010-07-15,5253.50,5268.40,5187.50,5211.30,834459400,5211.30
2010-07-14,5271.00,5287.30,5205.80,5253.50,839655700,5253.50
2010-07-13,5167.00,5272.30,5167.00,5271.00,891506800,5271.00
2010-07-12,5132.90,5193.20,5128.60,5167.00,622994200,5167.00
2010-07-09,5105.50,5150.60,5098.80,5132.90,859246400,5132.90
2010-07-08,5014.80,5123.50,5014.80,5105.50,1130033400,5105.50
2010-07-07,4965.00,5014.80,4892.00,5014.80,1061885900,5014.80
2010-07-06,4823.50,4967.60,4823.50,4965.00,921871800,4965.00
2010-07-05,4838.10,4863.40,4821.10,4823.50,539451400,4823.50
2010-07-02,4805.80,4880.90,4805.80,4838.10,1038891300,4838.10
2010-07-01,4916.90,4916.90,4790.00,4805.80,1342920400,4805.80
2010-06-30,4914.20,4961.90,4898.50,4916.90,1277365000,4916.90
2010-06-29,5071.70,5071.70,4899.00,4914.20,1016390700,4914.20
2010-06-28,5046.50,5085.60,5024.70,5071.70,845187200,5071.70
2010-06-25,5100.20,5130.50,5031.70,5046.50,1188668700,5046.50
2010-06-24,5178.50,5211.80,5091.00,5100.20,979497800,5100.20
2010-06-23,5247.00,5247.90,5165.80,5178.50,941044700,5178.50
2010-06-22,5299.10,5299.10,5210.00,5247.00,1124438700,5247.00
2010-06-21,5250.80,5331.50,5250.80,5299.10,797902500,5299.10
